Branch,Category,Round,Domicile,MinP,MaxP,MeanP,StdP,TotalSeats,BranchSeats,TotalCandidates,Trend
BT-F.W.,UR/X/OP,R1_Upgrade,Y,0.8720202593192868,0.8720202593192868,0.8720202593192868,0.0,29.0,2.0,1234000.0,0.0
BT-F.W.,UR/X/OP,R2,Y,0.8189951377633712,0.8718591549295774,0.8454271463464743,0.0373805050189865,24.0,2.0,1220500.0,0.052864017166206236
BT-FW,F.W./X/OP,R1,Y,0.9024770642201835,0.9116,0.9070385321100918,0.0064508897542376615,2.0,2.0,1055000.0,-0.00912293577981658
BT-FW,F.W./X/OP,R1_Upgrade,Y,0.7756990825688074,0.9116,0.8436495412844036,0.09609646028506932,32.0,2.0,1055000.0,-0.1
BT-FW,F.W./X/OP,R2,Y,0.8196588235294118,0.8636155963302752,0.8416372099298435,0.031082132126566905,2.0,2.0,1055000.0,0.04395677280086333
CE,EWS,INTERNAL,Y,0.30362893606870234,0.9999775447421013,0.6631219910220318,0.23653859927890947,22.5,2.0,1052408.1,-0.02212081192325167
CE,EWS,R1,Y,0.3636204021687519,0.8232851694453525,0.6237612312566522,0.15194582650674945,148.0,13.714285714285714,1145465.857142857,-0.03487721290774896
CE,EWS,R1_Upgrade,Y,0.07216241848874283,0.795010134030729,0.4004365448361142,0.28056636092149967,73.42857142857143,8.142857142857142,1145465.857142857,-0.1
CE,EWS,R2,Y,0.14389293167989925,0.7294066471163245,0.48255491029866227,0.20472454335868048,79.0,6.428571428571429,1192319.857142857,-0.05153875858540933
CE,FW,R1,Y,0.9194342377683339,0.9194342377683339,0.9194342377683339,0.0,138.0,6.0,1147125.0,0.0
CE,FW,R1_Upgrade,Y,0.9013167701863354,0.9013167701863354,0.9013167701863354,0.0,107.0,4.0,1147125.0,0.0
CE,FW/OP,R1,Y,0.7350600161220862,0.8711085043988269,0.7920159207716031,0.04572859394250819,149.66666666666666,6.0,1145189.3333333333,-0.008857446555969792
CE,FW/OP,R1_Upgrade,Y,0.6877933269744554,0.8786168132942327,0.7564301586619288,0.06677903538046856,67.83333333333333,4.0,1145189.3333333333,-0.02742849236233312
CE,FW/OP,R2,Y,0.7606655264073086,0.9110523129571291,0.8488237045065978,0.059678616562584184,82.375,1.5,1227667.75,-0.009853529578372964
CE,JKM/X/OP,R1_Upgrade,N,0.4906330275229358,0.4906330275229358,0.4906330275229358,0.0,95.0,1.0,1090000.0,0.0
CE,OBC/H/OP,R1,Y,0.22394283347141675,0.7894376146788991,0.4449795827500423,0.21509689033843707,124.8,1.0,1139200.0,0.0048464934656890545
CE,OBC/H/OP,R1_Upgrade,Y,0.4750641592920354,0.4750641592920354,0.4750641592920354,0.0,77.0,1.0,1356000.0,0.0
