Year,Round,Institute,Branch,Category,Domicile,OpeningRank,ClosingRank,BranchSeats,TotalSeats,TotalCandidates
2014,R2,MITS,EE,UR/NCC/OP,Y,465179,465179,1,18,1356000
2014,R2,MITS,EE,ST/X/OP,Y,423901,489855,3,18,1356000
2014,R2,MITS,EE,ST/X/F,Y,976683,976683,1,18,1356000
2014,R2,MITS,IT,UR/X/OP,AI,59119,59119,1,15,1356000
2014,R2,MITS,IT,OBC/X/OP,Y,94925,94925,1,15,1356000
2014,R2,MITS,IT,UR/X/OP,Y,87279,105462,9,15,1356000
2014,R2,MITS,IT,ST/X/OP,Y,525856,885919,4,15,1356000
2014,R2,MITS,MECH,UR/X/OP,AI,29987,41140,2,21,1356000
2014,R2,MITS,MECH,UR/X/OP,Y,31067,68746,7,21,1356000
2014,R2,MITS,MECH,OBC/X/OP,Y,61097,71859,2,21,1356000
2014,R2,MITS,MECH,UR/X/F,Y,34487,148325,2,21,1356000
2014,R2,MITS,MECH,SC/X/OP,Y,115366,193649,3,21,1356000
2014,R2,MITS,MECH,SC/X/F,Y,226991,226991,1,21,1356000
2014,R2,MITS,MECH,ST/X/OP,Y,408703,408703,1,21,1356000
2014,R2,MITS,MECH,ST/X/F,Y,886734,1178778,3,21,1356000
,,,,,,,,,,
2015,R1,MITS,AUTO,UR/X/OP,AI,60097,61829,3,63,1234000
2015,R1,MITS,AUTO,OBC/X/OP,Y,91043,91043,1,63,1234000
2015,R1,MITS,AUTO,OBC/X/OP,Y,119100,132386,5,63,1234000
2015,R1,MITS,AUTO,UR/X/OP,Y,96573,165136,19,63,1234000
2015,R1,MITS,AUTO,UR/S/OP,Y,191418,191418,1,63,1234000
2015,R1,MITS,AUTO,UR/NCC/OP,Y,277087,277087,1,63,1234000
2015,R1,MITS,AUTO,OBC/X/F,Y,247260,291383,2,63,1234000
2015,R1,MITS,AUTO,UR/X/F,Y,178621,312635,8,63,1234000
2015,R1,MITS,AUTO,SC/X/OP,Y,684900,684900,1,63,1234000
2015,R1,MITS,AUTO,SC/X/OP,Y,300275,724301,17,63,1234000
2015,R1,MITS,AUTO,SC/X/F,Y,607591,776124,2,63,1234000
2015,R1,MITS,AUTO-F.W.,UR/X/OP,Y,112208,120708,3,63,1234000
2015,,,,,,,,,,1234000
2015,R1,MITS,BT,UR/X/OP,AI,52004,57842,2,32,1234000
2015,R1,MITS,BT,OBC/X/F,Y,148570,148570,1,32,1234000
2015,R1,MITS,BT,OBC/X/OP,Y,177510,177510,1,32,1234000
2015,R1,MITS,BT,OBC/X/OP,Y,100417,179780,2,32,1234000
2015,R1,MITS,BT,UR/X/OP,Y,143486,194322,10,32,1234000
2015,R1,MITS,BT,UR/X/F,Y,194389,211882,3,32,1234000
2015,R1,MITS,BT,UR/S/OP,Y,292929,292929,1,32,1234000
2015,R1,MITS,BT,SC/X/F,Y,484638,484638,1,32,1234000
2015,R1,MITS,BT,SC/X/OP,Y,500538,500538,1,32,1234000
2015,R1,MITS,BT,SC/X/OP,Y,360230,699265,7,32,1234000
2015,R1,MITS,BT,ST/X/F,Y,993322,993322,1,32,1234000
2015,R1,MITS,BT-F.W.,UR/X/OP,Y,52966,145384,2,32,1234000
2015,,,,,,,,,,1234000
2015,R1,MITS,CE,UR/X/OP,AI,43843,46772,6,126,1234000
2015,R1,MITS,CE,UR/X/OP,Y,78171,78171,1,126,1234000
2015,R1,MITS,CE,OBC/X/OP,Y,61007,80113,11,126,1234000
2015,R1,MITS,CE,UR/X/OP,Y,61849,94867,35,126,1234000
2015,R1,MITS,CE,OBC/X/F,Y,104739,160044.01,4,126,1234000
2015,R1,MITS,CE,UR/S/OP,Y,169447,177804,2,126,1234000
2015,R1,MITS,CE,UR/X/F,Y,63257,178292,15,126,1234000
2015,R1,MITS,CE,UR/NCC/OP,Y,256084,256084,1,126,1234000
2015,R1,MITS,CE,SC/X/OP,Y,97768,283301,13,126,1234000
2015,R1,MITS,CE,UR/S/F,Y,294465,294465,1,126,1234000
2015,R1,MITS,CE,ST/X/OP,Y,394747,394747,1,126,1234000
2015,R1,MITS,CE,SC/X/F,Y,331284,495449,5,126,1234000
2015,R1,MITS,CE,OBC/S/F,Y,517852,517852,1,126,1234000
2015,R1,MITS,CE,ST/X/OP,Y,339441,520348,16,126,1234000
2015,R1,MITS,CE,UR/FF/OP,Y,625345,625345,1,126,1234000
2015,R1,MITS,CE,UR/H/OP,Y,652217,652217,1,126,1234000
2015,R1,MITS,CE,ST/X/F,Y,550484,687628,6,126,1234000
2015,R1,MITS,CE-F.W.,UR/X/OP,Y,44506,58853,6,126,1234000
2015,,,,,,,,,,1234000
2015,R1,MITS,CHEM,UR/X/OP,AI,49592,53317,3,63,1234000
2015,R1,MITS,CHEM,OBC/X/OP,Y,98586,116989,6,63,1234000
2015,R1,MITS,CHEM,UR/X/OP,Y,120465,120465,1,63,1234000
2015,R1,MITS,CHEM,UR/X/OP,Y,67275,129696,18,63,1234000
2015,R1,MITS,CHEM,UR/X/F,Y,98902,175441,7,63,1234000
2015,R1,MITS,CHEM,OBC/X/F,Y,112790,195808,2,63,1234000
2015,R1,MITS,CHEM,UR/FF/OP,Y,398825,398825,1,63,1234000
2015,R1,MITS,CHEM,SC/X/OP,Y,514327,570814,2,63,1234000
2015,R1,MITS,CHEM,UR/S/OP,Y,598180,598180,1,63,1234000
2015,R1,MITS,CHEM,SC/X/F,Y,569591,609355,2,63,1234000
2015,R1,MITS,CHEM,SC/X/OP,Y,330244,633162,13,63,1234000
2015,R1,MITS,CHEM,ST/X/F,Y,734389,734389,1,63,1234000
2015,R1,MITS,CHEM,ST/X/OP,Y,495534,958177,3,63,1234000
2015,R1,MITS,CHEM-F.W.,UR/X/OP,Y,77383,77383,1,63,1234000
2015,R1,MITS,CHEM-F.W.,UR/X/OP,Y,79930,83544,2,63,1234000
2015,,,,,,,,,,1234000
2015,R1,MITS,CSE,UR/X/OP,AI,28483,39687,5,125,1234000
2015,R1,MITS,CSE,OBC/X/OP,Y,50119,50119,1,125,1234000
2015,R1,MITS,CSE,OBC/X/OP,Y,41571,59544,8,125,1234000
2015,R1,MITS,CSE,UR/X/OP,Y,19336,61862,35,125,1234000
2015,R1,MITS,CSE,UR/X/F,Y,33080,66219,14,125,1234000
2015,R1,MITS,CSE,UR/S/OP,Y,56240,80261,2,125,1234000
2015,R1,MITS,CSE,OBC/X/F,Y,48713,133043,5,125,1234000
2015,R1,MITS,CSE,UR/FF/F,Y,150901,150901,1,125,1234000
2015,R1,MITS,CSE,OBC/S/OP,Y,216645,216645,1,125,1234000
2015,R1,MITS,CSE,UR/S/F,Y,226609,226609,1,125,1234000
2015,R1,MITS,CSE,UR/NCC/OP,Y,240590,240590,1,125,1234000
2015,R1,MITS,CSE,SC/X/OP,Y,88943,316461,19,125,1234000
2015,R1,MITS,CSE,SC/X/F,Y,205621,323462,5,125,1234000
2015,R1,MITS,CSE,UR/FF/OP,Y,335318,335318,1,125,1234000
2015,R1,MITS,CSE,OBC/H/OP,Y,819364,819364,1,125,1234000
2015,R1,MITS,CSE,UR/H/OP,Y,839921,839921,1,125,1234000
2015,R1,MITS,CSE,ST/X/OP,Y,925283,925283,1,125,1234000
2015,R1,MITS,CSE,ST/X/F,Y,314619,988026,2,125,1234000
2015,R1,MITS,CSE,UR/H/F,Y,1121413,1121413,1,125,1234000
2015,R1,MITS,CSE,ST/X/OP,Y,604968,1169043,14,125,1234000
2015,R1,MITS,CSE-F.W.,UR/X/OP,Y,20640,38540,6,125,1234000
2015,,,,,,,,,,1234000
2015,R1,MITS,ECE,UR/X/OP,AI,44886,46980,6,126,1234000
2015,R1,MITS,ECE,OBC/X/OP,Y,60819,88360,10,126,1234000
2015,R1,MITS,ECE,UR/X/OP,Y,67426,97750,36,126,1234000
2015,R1,MITS,ECE,UR/X/F,Y,69053,98827,15,126,1234000
2015,R1,MITS,ECE,OBC/X/F,Y,44572,137950,4,126,1234000
2015,R1,MITS,ECE,UR/S/OP,Y,213918,237276,2,126,1234000
2015,R1,MITS,ECE,UR/S/F,Y,262028,262028,1,126,1234000
